libaarhusxyz,input,alc
timestamp,,DateTime
date,,Date
time,,Time
,,Flight
title,,Line
,,GdSpeed
alt,,Alt
,,DEM
,,Magnetic
,plni,PowerLineMonitor
,,RxPitch
,,RxRoll
topo,dem_lidar,Topography
tx_altitude,height_lidar,TxAltitude
,,TxOffTime
,,TxOnTime
,,TxPeakTime
tilt_x,anglex,TxPitch
tilt_y,angley,TxRoll
,,TxRxHoriSep
,,TxRxVertSep
x,utmx,UTMX
y,utmy,UTMY
lon,,
lat,,
,,Current_Ch01
,,Current_Ch02
dbdt_ch1gt,,Gate_Ch01
dbdt_ch2gt,,Gate_Ch02
dbdt_std_ch1gt,,STD_Ch01
dbdt_std_ch2gt,,STD_Ch02
dbdt_inuse_ch1gt,,InUse_Ch01
dbdt_inuse_ch2gt,,InUse_Ch02
,lm_z_dbdt,Gate_Ch01
,hm_z_dbdt,Gate_Ch02
,relunc_lm_z,STD_Ch01
,relunc_hm_z,STD_Ch02

topo,elevation,
doi_upper,doi_conservative,
doi_lower,doi_standard,
invalt,altitude_[m],
invaltstd,altitude_std_[fact],
alt,altitude_a-priori_[m],
altstd,altitude_a-priori_std_[fact],
segment,segments,
,,
sigma_i,sigma,
height,thk,
resistivity,rho_i,
resistivity,rho,
resistivity_variance_factor,rho_i_std,
resistivity_variance_factor,rho_std,
gate times (s),gate times,
,,
number of layers,numlayer,
,,
title,line_no,
title,line_id,
title,line,
topo,topography,
,,DipoleMoment_Ch01
,,DipoleMoment_Ch02